IP,RISC FACTOR,PORT/PROTOCOL,PLUGIN ID,DESCRIPTION
13.79.191.199,None,0/tcp,19506,"Nessus Scan Information"
13.79.191.199,None,0/tcp,45590,"Common Platform Enumeration (CPE)"
13.79.191.199,None,0/tcp,54615,"Device Type"
13.79.191.199,None,0/tcp,11936,"OS Identification"
13.79.191.199,None,80/tcp,91634,"HyperText Transfer Protocol (HTTP) Redirect Information"
13.79.191.199,None,65504/tcp,24260,"HyperText Transfer Protocol (HTTP) Information"
13.79.191.199,None,65503/tcp,24260,"HyperText Transfer Protocol (HTTP) Information"
13.79.191.199,None,443/tcp,24260,"HyperText Transfer Protocol (HTTP) Information"
13.79.191.199,None,80/tcp,24260,"HyperText Transfer Protocol (HTTP) Information"
13.79.191.199,None,443/tcp,84502,"HSTS Missing From HTTPS Server"
13.79.191.199,None,65504/tcp,43111,"HTTP Methods Allowed (per directory)"
13.79.191.199,None,65503/tcp,43111,"HTTP Methods Allowed (per directory)"
13.79.191.199,None,443/tcp,43111,"HTTP Methods Allowed (per directory)"
13.79.191.199,None,65504/tcp,10107,"HTTP Server Type and Version"
13.79.191.199,None,65503/tcp,10107,"HTTP Server Type and Version"
13.79.191.199,None,443/tcp,10107,"HTTP Server Type and Version"
13.79.191.199,None,80/tcp,10107,"HTTP Server Type and Version"
13.79.191.199,None,80/tcp,43111,"HTTP Methods Allowed (per directory)"
13.79.191.199,None,80/tcp,10386,"Web Server No 404 Error Code Check"
13.79.191.199,None,443/tcp,94761,"SSL Root Certification Authority Certificate Information"
13.79.191.199,None,443/tcp,95631,"SSL Certificate Signed Using Weak Hashing Algorithm (Known CA)"
13.79.191.199,None,443/tcp,10863,"SSL Certificate Information"
13.79.191.199,Medium,443/tcp,42873,"SSL Medium Strength Cipher Suites Supported (SWEET32)"
13.79.191.199,None,443/tcp,70544,"SSL Cipher Block Chaining Cipher Suites Supported"
13.79.191.199,None,443/tcp,104743,"TLS Version 1.0 Protocol Detection"
13.79.191.199,None,443/tcp,57041,"SSL Perfect Forward Secrecy Cipher Suites Supported"
13.79.191.199,Low,443/tcp,83875,"SSL/TLS Diffie-Hellman Modulus <= 1024 Bits (Logjam)"
13.79.191.199,None,443/tcp,51891,"SSL Session Resume Supported"
13.79.191.199,None,443/tcp,121010,"TLS Version 1.1 Protocol Detection"
13.79.191.199,None,443/tcp,21643,"SSL Cipher Suites Supported"
13.79.191.199,None,443/tcp,56984,"SSL / TLS Versions Supported"
13.79.191.199,None,65504/tcp,22964,"Service Detection"
13.79.191.199,None,65503/tcp,22964,"Service Detection"
13.79.191.199,None,443/tcp,22964,"Service Detection"
13.79.191.199,None,80/tcp,22964,"Service Detection"
13.79.191.199,None,443/tcp,22964,"Service Detection"
13.79.191.199,None,0/tcp,25220,"TCP/IP Timestamps Supported"
13.79.191.199,None,0/udp,10287,"Traceroute Information"
13.79.191.199,None,65504/tcp,11219,"Nessus SYN scanner"
13.79.191.199,None,65503/tcp,11219,"Nessus SYN scanner"
13.79.191.199,None,80/tcp,11219,"Nessus SYN scanner"
13.79.191.199,None,443/tcp,11219,"Nessus SYN scanner"
